order_id,product_id,quantity
1,18,2
1,10,7
2,17,8
2,11,3
2,6,9
2,6,9
3,9,2
3,12,8
3,8,2
4,20,7
4,11,4
4,16,4
4,6,6
5,3,9
5,10,2
6,12,7
6,12,9
7,19,3
8,14,4
8,13,8
8,19,2
9,18,3
9,5,8
10,3,3
11,15,1
11,7,1
11,20,5
12,12,4
12,18,1
12,19,9
12,4,5
13,4,2
13,15,2
14,6,7
14,10,3
14,19,6
14,12,3
15,18,8
16,15,1
17,8,4
17,16,7
17,10,2
18,5,5
18,6,9
18,15,8
19,20,2
19,7,6
19,17,9
20,2,3
21,5,1
22,12,8
22,4,7
22,15,3
22,14,9
23,5,4
24,11,1
24,20,9
24,11,5
24,15,5
25,5,1
25,17,8
25,12,8
25,15,6
26,20,2
26,14,2
26,9,5
26,20,1
27,3,6
27,5,5
27,5,1
28,19,4
29,18,8
30,11,2
30,18,9
30,7,8
31,11,2
31,12,6
31,20,7
32,13,4
32,16,2
32,10,7
32,8,2
33,1,7
34,6,5
34,15,6
34,15,2
34,1,7
35,11,2
35,18,1
35,8,8
36,12,8
37,14,4
38,1,3
39,16,5
39,16,5
39,9,2
40,6,9
40,1,9
41,16,9
42,13,9
43,4,2
43,6,4
43,6,3
44,2,2
44,13,9
45,19,1
45,7,9
45,15,1
46,7,5
46,19,9
46,1,1
46,17,3
47,6,3
47,8,2
47,14,9
47,3,5
48,8,2
48,6,5
49,12,5
50,16,5
50,15,4
51,11,7
51,6,2
51,12,5
52,11,7
52,16,5
52,15,9
53,11,3
53,15,4
53,13,6
53,19,2
54,4,5
54,20,3
55,16,4
55,18,2
55,17,4
55,11,7
56,12,7
56,13,7
56,17,8
57,20,4
57,7,6
57,1,8
57,13,7
58,9,9
58,15,8
59,10,8
59,16,1
60,5,4
60,18,8
61,4,7
61,10,9
61,18,3
62,10,1
62,18,5
62,15,1
62,3,2
63,17,6
64,5,3
64,7,9
64,14,9
64,2,3
65,18,3
65,10,6
65,7,9
66,11,7
67,14,3
67,4,6
67,10,7
67,13,4
68,5,1
68,4,3
68,9,8
68,1,6
69,7,4
70,17,2
71,5,5
71,8,6
71,8,2
71,3,6
72,3,6
72,6,2
72,12,2
72,6,1
73,2,7
73,20,8
73,12,4
74,13,9
75,16,9
75,16,1
75,16,8
76,3,7
76,19,8
76,5,4
76,8,8
77,1,9
77,20,6
77,18,8
77,7,1
78,16,6
79,2,4
79,1,7
79,18,2
79,9,5
80,9,1
80,11,3
81,4,2
81,6,3
81,11,6
81,5,4
82,12,1
82,10,6
83,13,3
83,10,6
84,16,7
84,20,9
84,15,5
85,2,2
85,3,2
85,14,4
86,10,9
86,2,9
87,1,4
88,14,1
88,14,6
88,14,4
89,3,9
89,6,9
89,13,5
90,8,5
90,2,4
91,15,4
92,12,4
93,6,2
93,19,3
94,19,2
95,2,2
95,15,9
96,19,9
96,3,5
96,9,3
97,16,1
97,4,4
97,7,8
98,5,7
99,20,4
99,4,6
99,7,2
99,5,4
100,3,7
100,14,7
100,5,6
101,2,5
102,6,5
102,10,7
103,7,5
103,1,5
104,18,5
104,18,5
105,4,1
106,17,5
106,20,7
106,4,2
107,16,2
107,8,3
107,9,4
107,6,5
108,13,1
108,9,1
109,9,9
109,1,2
109,16,1
109,10,2
110,8,5
110,11,7
111,8,6
111,8,1
112,17,7
112,13,3
112,5,1
113,5,8
113,13,8
113,11,1
114,19,8
115,17,5
115,20,5
115,8,4
116,20,3
116,7,3
116,19,5
117,8,6
118,16,1
118,8,8
118,9,2
119,18,3
119,17,4
119,4,9
120,18,5
121,12,8
121,2,6
121,13,5
121,16,2
122,10,1
122,8,2
122,9,9
123,14,9
123,18,6
123,20,4
123,12,3
124,17,8
124,3,7
125,17,9
125,15,2
125,13,5
126,8,8
126,14,7
127,12,6
127,11,9
127,13,2
128,15,4
128,18,3
129,12,6
129,11,5
129,1,8
130,19,7
130,7,9
130,5,8
131,16,8
131,1,5
132,1,4
132,8,3
132,10,2
133,10,5
133,14,7
133,2,9
134,13,9
134,20,4
134,10,6
134,12,1
135,14,9
135,2,5
136,20,3
137,6,8
137,19,5
137,4,4
138,10,8
138,3,5
138,6,5
138,8,7
139,10,6
140,4,9
140,13,4
141,7,4
142,14,3
143,5,7
143,20,4
143,2,2
143,19,3
144,14,3
