payment_id,order_id,payment_method,payment_amount,payment_date
1,1,credit_card,350.78181656614254,2024-02-21
2,2,bank_transfer,806.794184815635,2024-01-04
3,3,paypal,261.5895075252233,2024-01-23
4,4,credit_card,976.5120446281998,2024-01-15
5,5,bank_transfer,357.9212555912464,2024-02-12
6,6,paypal,350.56473506820305,2024-01-29
7,7,paypal,325.67366742597113,2024-02-05
8,8,bank_transfer,139.66928560580217,2024-01-13
9,9,bank_transfer,128.91440438537217,2024-02-01
10,10,bank_transfer,655.1429338434409,2024-03-11
11,11,bank_transfer,877.6156836668861,2024-02-28
12,12,bank_transfer,794.71010006624,2024-03-26
13,13,credit_card,158.28544214092406,2024-01-28
14,14,credit_card,554.6704793562251,2024-03-06
15,15,paypal,123.4797150571072,2024-02-11
16,16,credit_card,64.3887507408159,2024-02-14
17,17,credit_card,663.2581421970718,2024-03-02
18,18,credit_card,544.4492870067434,2024-02-26
19,19,bank_transfer,100.38321150724144,2024-01-06
20,20,paypal,54.24046147786868,2024-01-28
21,21,paypal,989.961285141148,2024-01-28
22,22,paypal,49.42090550609044,2024-02-13
23,23,paypal,455.63768798915646,2024-03-24
24,24,credit_card,514.5266441155417,2024-01-30
25,25,credit_card,134.93454484443615,2024-03-02
26,26,bank_transfer,185.68054287092193,2024-03-15
27,27,paypal,364.76890628214545,2024-03-29
28,28,credit_card,766.4423586893894,2024-03-02
29,29,credit_card,516.9407755790614,2024-01-01
30,30,bank_transfer,645.1438370619023,2024-01-27
31,31,bank_transfer,985.4710639888613,2024-03-02
32,32,bank_transfer,772.6453266069454,2024-03-17
33,33,credit_card,445.6742681783934,2024-01-03
34,34,credit_card,457.51308336061777,2024-03-10
35,35,bank_transfer,626.3966355001849,2024-03-12
36,36,paypal,672.0579042505262,2024-01-27
37,37,bank_transfer,510.6967073199379,2024-01-09
38,38,bank_transfer,651.9639983586803,2024-03-02
39,39,bank_transfer,43.061844525816795,2024-02-06
